movie,review_title,review,review_rating
Braveheart,"Gibson's best as director- melodramatic in better than expected measure, with bloody violence","It was too much to take in upon first trying to watch Braveheart when I was younger. It's story is not terribly complicated, in fact it almost resembles (when taking it out historical context, which is not completely accurate to the film anyway) a 13th century Scottish version of the Mad Max series- Wallace's wife gets killed by the English, he gets revenge, and then some; he faces off in battles to finally gain freedom for Scotland. Clad in blue make-up, using his ""they may take our lives, but they'll never take our freedom!"" speech, charging ahead, and getting into a truly bloody battle that is only rivaled in 90s war/epic movie-making by Saving Private Ryan, this was what I remembered most from Braveheart when also first writing my comments. Seeing it today it's a totally different experience, as taking in the story it's very well told, with excellent performances that emphasize- unlike in Gibson's Passion of the Christ- that he can really get belief out of melodramatic performances. And when he does get his cameras up into the nitty gritty of violent confrontations, be them small (when he first takes his vengeance on the British after his wife's slaughtered, which itself is a very powerful scene) or large (previously mentioned battle), it's with a vitality and viciousness that rarely gets into Hollywood productions. There are even moments of fun (flashing the British, to 'kiss arse') and close-to-poetry (Wallace's death). It's a handsomely done work that should stand the test of time in Gibson's oeuvre. One of the best films of 1995.",9/10
Left Behind,This is just the beginning......,"Wow.......Nicolas Cage does his best Elvis as a pilot impersonation, and then the plot sort of begins. About thirty minutes into the film, lots of random outfits appear out of nowhere, and coincidentally, lots of really really nice people literally disappear of the face of the earth.Cage is still there though, but he's having an affair. But, the person who he's having the affair with is still there too!. It turns out that all the people who have never sinned, have gone to a better place, and all the sinners have been..............Left Behind!!!Well its a bad film. Within five minutes, the religious undertones have already been stuffed down our throat in the most overblown way possible. A copy of the book 'Acts Of God' is purchased, and a woman has a huge rant at one of the main characters.It also looks really cheap, and the attempts at humour are totally out of place, and just feel way too desperate. And despite it trying to deliver some sort of message, hilariously offensive in some scenes, especially involving one character on the plane (you will know straight away when you see the film).But, and its a really big but, its watchable in so many ways. Cage just looks bewildered the whole way through the film, like he has a gun pointed at his head off camera. The man had one of his greatest performances early in the year with 'Joe', and it ends with this lump hammer of a movie.And its funny for all the wrong reasons. Someone is about to jump from a bridge, and there phone rings, and and the heartbreaking scene where one character hugs her brother, and he disappears, has to be one of the funniest scenes of the whole year. In fact with the added bonus of it looking like people are throwing clothes everywhere, makes it all the more entertaining.But seriously, its a bad film, but I will be watching it again, because it's just so entertaining, and I hope they will make a sequel.It's the new 'The Room'.",4/10
Drishyam,One of most powerful movies ever,"This is a true tour-de-force that has you gripped to your seat.It starts of gently, but don't let that lull you into a false sense of security that nothing much is going to happen - it is! And when it does, the tension doesn't let up.When I saw it the IMDb rating at the time was 8.9, which is very high. All I can say is that it is that high for a very good reason.Not only is it one of the best thrillers I have ever seen, but the cinematography is stunning. It captures the beauty of the location in such rich tones it is worth watching a second time just to admire the thought has gone into this. But it isn't just the large panoramic shots that are terrific, it is also the smaller sets such as the hotel where George goes for tea, and I don't know whether the director intended the contrast between the cold and clinical chief of police's house and the warmer tones of George's family home, but if they did then that was genius.If your heart is not racing by the end of the film you're not alive. Awesome!!!",10/10
Troll 2,"""There's no coffee here in Nilbog... it's the devil's drink."" - Fair enough mate. So bad it's great.","Troll 2 starts as Michael (George Hardy) & Diana Waits (Margo Prey) along with their two children Joshua (Michael Stephenson) & Holly (Connie Young) prepare to go on vacation for a month out in the country in a small town called Nilbog which has a population of 26, hey I said it was small. Once there Joshua quickly realises that the town is full of Goblins since Nilbog is Goblin spelt backwards, he also discovers that the evil Goblins want to turn his family into vegetables & eat them because that's what Goblins eat. Can he save his family & stop the evil Goblins & their queen Creedence (Deborah Reed)?Originally shot under the title Goblins & re-title Troll 2 to cash in on the mildly successful Empire Pictures fantasy horror film Troll (1986) this Italian production was written & directed by Claudio Fragasso under the pseudonym of Drake Floyd & is a unique viewing experience if nothing else. Troll 2 is one of those films which you have to watch, mere word typed on my computer cannot possibly do it justice in how unrelentingly bad yet throughly entertaining it is at the same time. Troll 2 was made by an Italian crew in America with an American cast who apparently offered to make the dialogue sound more natural & actually make sense but the director told them to say it as he wrote it which is why the dialogue is simply hilarious, in an early scene Holly warns her boyfriend that if her father found him he'd 'cut your nuts off & eat them', OK so the cutting off of his nuts is a reasonable sounding threat but then eat them? It just sounds hilarious & the way it's delivered by the actor's add a lot as it's obvious they are uncomfortable with their lines but their being paid to say them so what can they do? The story is quite good in parts, I liked the idea of the Goblins (the word Troll is never mentioned during the film) turning people into vegetables so they can eat them but the ghostly Grandfather thing is awful & the way Joshua saves himself from the Goblins at the end is to start eating a Baloney sandwich in one of single greatest worst moments in cinematic history if that makes sense. I don't know what to say really, Troll 2 is a film that defies any logical explanation, I mean what on Earth was going on with the guy buried under a load of popcorn? It's an impossible film to recommend as it's generally considered by many to be the worst film ever made which is a notion I couldn't disagree more with, hell it's hilariously funny & entertaining so in that respect why is that a bad thing? Sure, it doesn't work on a dramatic level but who said every film ever made had to?Director Fragasso has taken a lot of stick for turning in a film this bad but again I have to disagree that it's the worst directed film ever because it's clearly not, I have seen (or should that be endured?) many films technically & conceptually worse than Troll 2 & that's a simple fact. It's not particularly scary & you should go into Troll 2 with your tongue in cheek. Again some say Troll 2 has the worst special effects ever & again I strongly disagree, I'm not saying the special effects in Troll 2 are good, far from it, but I can point to literally dozens of films which have inferior effects. The Goblins themselves look pretty cheap but their masks are sort of gross, with a bit more time & money they might have looked quite good & their costumes are just potato sacks. There's not much gore, there's a cut off hand & some people 'bleed' green blood but that's about it. A special mention goes to Deborah Reed as the Goblin queen, her performance has to be seen to be believed as it's school panto level, she rolls all of her R's & makes such exaggerated facial movements you can't take your eyes off her, oh & she's a dab hand with a chainsaw too...Made for a couple of hundred thousand dollars Troll 2 has weak production values, it looks cheap mainly because it is although I think it has a certain charm. Shot in a town called Porterville in Utah apparently. The acting is atrocious but extremely watchable in a really hammy way, having said that I can point to films with just as bad performances as this & they weren't trying to make stupid broken English dialogue written by an Italian with little grasp of the language sound plausible. George Hardy is now a successful dentist apparently.Troll 2 is an unbelievable film, it's a film words simply can't do justice. I can't recommend it but I have to say I'd rather watch this low budget laugh a minute horror flick again than something like the dire & drab Hide and Seek (2005) with Robert De Niro which I simply couldn't watch all of & turned it off after 20 minutes because it was so rubbish. Most people seem to hate Troll 2 but I'm not most people & I don't give a damned about anyone else's opinion, I liked it but not for the reasons the makers intended.",5/10
Pad Man,Problem is good,"After months of waiting for an enchanting movie, this is the one I wait for so long. Inspiring, encouraging, funny....Seeing Indian movies and having been to India, I feel that I am quite lucky to be born to a city fair to women. Indian women cannot be her family or go to school during mensuration. Our male lead invents cheap napkins and free women of mensuration.His speech in New York celebrating his invention, without the help of translator, is inspiring and encouraging. Problem, to him, is good chance to find ways to improve.Nothing is impossible. Just preserve your passion and creativity of childhood. Someday your wish will come true.",10/10
#Home,"Fresh, Inspiring, Emotional, Feel Good, Family movie","Just watched the movie on Amazon prime. A very nice feel good family movie for everyone. The movie is a little bit long, but still engaging and worthy to watch. Watch it and feel the freshness. You won't regret spending time watching this. Must Watch...",8/10
Ab Tak Chhappan,Nothing beats,"It was around 2004 after took a glimpse on a trailer, I continued to look for the movie not knowing the title. All I knew was a police story with Nana Patekar (wish to address him Sir) & Revathy. Going around shops describing the movie for almost 8 months only ended after the long list of ""fuyo"" heroics common movies. My hunt was worth as till to date nothings comes near this.Even the 2 top Tamil cop movies which is good, unable to near ATC Ab Tak Chappan. Not many can act without dialog. Nana Patekar is the 1 thing I look forward. Don't miss in Shigard the scene where he will cry after being slapped and continue to laugh as he walks out. Just bought my 4th ATC copy recently. Look forward for ATC2",10/10
Angamaly Diaries,Got to see this,Guess it could be a fav anyway could see clips in mobile guess it did come to my place in palakkad( kerala) maybe it shall again. That's ok others ways of watching at least parts of it.,10/10
Disaster Movie,Oh lord this makes Son Of The Mask a masterpiece,"Disaster Movie is a 2008 spoof comedy that spoofs the likes of No Country For Old Men,The Hottie And The Nottie,Enchanted (yes one of my favourite movies gets spoofed in this film),Juno,Night At The Museum,Hannah Montana,1000BC,Indiana Jones, Juno and many more. For a whooping 88 minutes this film is literally a spoof of a spoof of itself.Movie stars Carmen Electra and yes folks Kim Kardashian(who plays Lisa in this film,hey that's my name and I feel embarrassed now).Do yourselves a favour avoid this piece of trash and if you see it in the bargain bin avoid.Wish I could give it a 0/10. Any wonder Kim ditched the acting after this.",1/10
K.G.F: Chapter 1,A perfect ride for full swing action movie lovers.,"I'm not a big fan of full swing action movies. Still KGF is very good in other technical areas like visual effects and cinematography. Prashanth Neel has done a good job in direction. Yash has also done justice to his role. There are not worthy performances from other actors. Overall, KGF is a one time watcher with a perfect climax setting up for Chapter Two.",5/10
